movie_id,title,release_date,vote_average,popularity,overview
1019923,George A. Romero's Resident Evil,2025-01-07,6.0,1.1056,"A documentary that brings to light the vision that director George A. Romero had for an adaptation of Resident Evil, using newly filmed interviews with those who were there, and unravels the secrets behind why it was never produced."
968294,Going Postal: The Legacy Foretold,2025-03-29,8.0,0.4325,Feature length documentary about the infamous video game franchise 'Postal' by Running with Scissors. Exploring the company's history and possible imprint violent video games bring to the real world.
1482294,Dangerous Games: Roblox and the Metaverse Exposed,2025-05-25,8.0,0.3159,"Follow Alex, Janae, and Katie as they investigate the hidden threats inside online worlds designed for children. After Katie is harassed by a predator on Roblox, the trio uncovers a disturbing network of extremists, predators, and illicit content. As their investigation gains traction, real-world tragedies — including a kidnapping and a mass shooting — underscore the devastating consequences of a system failing to protect its most vulnerable users. Through expert interviews and gripping verité storytelling, the film exposes the gaps in platform regulations and the dangers that continue to slip through the cracks. Blending investigative journalism with compelling visuals, Dangerous Games delivers a wake-up call on the urgent need for accountability in the evolving digital world."
1427126,Wednesdays with Gramps,2025-06-15,10.0,0.2697,"When a teenage boy visits his Gramps at a seemingly mundane boring assisted living facility, he comes to find that they have much more in common than he thought."
1436811,Moon Valley Quest,2025-02-27,6.0,0.2413,"In 1988, a video game geek and failed musician is recruited by a retired battle general to defeat an evil beast and his gang in order to restore the freedom of Moon Valley's citizens in this music driven fantasy action adventure."
